ID,n_photos,Date,Month,Species,Self_dc,Self_PMIl,Self_PMIu,DC1,PMIl1,PMIu1,DC2,PMIl2,PMIu2,DC3,PMIl3,PMIu3,DC4,PMIl4,PMIu4,DC5,PMIl5,PMIu5,DC6,PMIl6,PMIu6,DC7,PMIl7,PMIu7,DC8,PMIl8,PMIu8
IND1,1,26-12-2018,12,Sousa sp.,3,2,3,4,3,7,4,10,20,3,4,7,,15,25,3,4,8,4,5,7,3,3,10,4,5,
IND2,2,08-04-2019,4,Indo-Pacific finless porpoise,3,1,2,4,3,7,3,5,10,2,2,2,,5,15,3,2,5,2,2,7,3,3,10,3,1,
IND3,4,10-04-2019,4,Sousa sp.,2,1,2,3,2,4,2,2,4,2,1,2,,0,5,3,1,3,2,1,4,2,1,2,3,1,
IND4,3,16-01-2020,1,Sousa sp.,3,3,6,4,3,7,4,7,14,3,3,6,,15,25,3,4,8,5,7,30,3,3,10,,,
IND7,4,28-02-2021,2,Indo-Pacific finless porpoise,4,6,9,5,7,,4,14,22,4,7,14,,25,,4,7,14,5,21,60,4,8,21,4,6,
IND8,3,02-03-2021,3,Indo-Pacific finless porpoise,2,1,1,4,3,7,3,3,8,2,2,4,,5,15,3,4,8,3,2,4,2,1,2,3,1,
IND9,3,26-04-2021,4,Sousa sp.,3,2,3,4,3,7,4,8,19,4,6,9,,15,25,3,4,8,4,7,14,3,3,10,4,4,
IND10,1,24-04-2021,4,Indo-Pacific finless porpoise,5,6,10,5,7,,4,12,25,5,8,14,,25,,4,7,14,5,14,7,4,8,21,4,7,
IND11,2,09-05-2021,5,Sousa sp.,3,2,4,4,3,7,3,8,14,4,6,8,,15,25,3,4,8,4,5,7,3,3,10,4,5,
IND12,1,11-06-2021,6,Sousa sp.,4,5,8,5,7,,4,14,25,4,6,8,,15,25,3,5,9,5,14,7,3,3,10,4,6,
IND13,3,25-07-2021,7,Sousa sp.,2,1,1,2,1,2,2,1,3,2,2,2,,0,5,2,0,1,2,0,2,2,1,2,3,1,
IND16,2,08-11-2021,11,Indo-Pacific finless porpoise,3,2,3,4,5,7,4,10,16,4,5,7,,15,,4,7,14,5,14,30,3,3,10,4,5,
IND17,2,18-02-2022,2,Sousa sp.,3,3,5,4,3,7,4,8,16,4,5,8,,15,25,3,3,8,5,14,30,3,3,10,4,6,
IND19,2,16-05-2022,5,Indo-Pacific finless porpoise,2,1,1,3,2,4,2,1,3,3,2,3,,0,5,2,0,1,2,0,1,2,1,2,2,0,
IND20,3,24-05-2022,5,Indo-Pacific finless porpoise,2,1,3,4,3,7,3,4,8,2,1,2,,5,15,3,2,5,3,2,7,3,3,10,3,2,
