start,Waypoint number,Beaufort state (1-10),Boat speed (kmph),"Distance travelled (odometer, km)",Visibility (WGF; all out of 3),Number of fishing boats: small/medium,Number of fishing boats: large,Number of tourist boats,Comments,_index
2023-12-07T07:29:49.235+05:30,1,3,12,1.7,111,10,1,1,,1
2023-12-07T07:34:36.496+05:30,2,,12,2.5,111,0,0,0,,2
2023-12-07T06:44:53.274+05:30,3,,11,3.3,111,0,0,0,,3
2023-12-07T07:42:35.798+05:30,4,,11,4.1,111,1,0,0,,4
2023-12-07T07:47:28.113+05:30,5,,12,5.1,111,,,,,5
2023-12-07T07:52:37.488+05:30,6,,12,6.2,211,1,,,,6
2023-12-07T07:57:10.489+05:30,6,,12,7.1,211,,,,,7
2023-12-07T08:02:52.839+05:30,8,,11,8.2,211,,,,,8
2023-12-07T08:08:00.157+05:30,9,,13,9.3,211,,,,,9
2023-12-07T08:12:03.866+05:30,10,,13,10.2,211,,,,,10
2023-12-07T08:19:04.379+05:30,11,,13,11.6,321,,,,,11
2023-12-07T08:23:34.010+05:30,12,,12,12.5,321,,,,,12
2023-12-07T08:28:03.150+05:30,13,,12,13.5,321,,,,,13
2023-12-07T08:32:55.252+05:30,14,,12,14.5,321,,,,,14
2023-12-07T08:37:53.409+05:30,15,,13,15.5,221,,,,,15
2023-12-07T08:42:15.804+05:30,16,,12,16.5,311,,,,,16
2023-12-07T08:47:09.603+05:30,17,,13,17.5,311,,,,,17
2023-12-07T08:52:38.081+05:30,18,,12,18.1,211,,,,Olive ridley turtle,18
2023-12-07T08:57:46.302+05:30,19,,12,19.2,211,,,,,19
2023-12-07T09:02:21.609+05:30,20,,11,20,211,,,,,20
2023-12-07T09:07:31.874+05:30,21,,11,21,111,,,,,21
2023-12-07T09:11:32.973+05:30,22,,10,21.7,121,,,,,22
2023-12-07T09:19:28.566+05:30,23,,10,23.2,121,,,,,23
2023-12-07T09:24:29.143+05:30,25,,10,24,121,,,,,24
2023-12-07T09:28:12.779+05:30,26,,8,24.5,111,,,,,25
2023-12-07T09:39:07.087+05:30,27,,11,25.4,121,1,,2,,26
2023-12-07T09:43:58.144+05:30,28,,12,26.4,121,,,,,27
2023-12-07T09:48:39.087+05:30,29,,11,27.2,121,,,,,28
2023-12-07T09:54:48.640+05:30,30,,10,28.3,221,,,,,29
2023-12-07T09:59:02.289+05:30,31,,10,29.1,121,,,,,30
2023-12-07T10:04:11.857+05:30,32,,10,30,121,,,,,31
2023-12-07T10:10:07.291+05:30,33,,9,31,221,,,,,32
2023-12-07T10:13:59.919+05:30,34,,10,31.6,221,,,,,33
2023-12-07T10:20:43.809+05:30,35,,10,32.6,211,,1,,,34
2023-12-07T10:24:42.014+05:30,36,,10,33.2,321,,,,,35
2023-12-07T10:28:40.384+05:30,37,,10,33.9,211,1,,,,36
2023-12-07T10:34:09.775+05:30,38,,10,34.8,221,,,,,37
2023-12-07T10:37:56.761+05:30,39,,10,35.4,121,,,,,38
2023-12-07T10:44:56.898+05:30,40,,10,36.6,121,,,,,39
2023-12-07T10:49:57.515+05:30,41,,11,37.6,121,4,,,,40
2023-12-07T10:56:45.858+05:30,42,,11,38.9,221,1,,,,41
2023-12-07T10:58:46.055+05:30,43,,11,39.2,121,,,,,42
2023-12-07T11:04:48.293+05:30,44,,11,40.3,221,,,,,43
2023-12-07T11:09:40.680+05:30,46,,10,41.1,221,,,,,44
2023-12-07T11:14:47.049+05:30,46,,10,42,121,,,,,45
2023-12-07T11:18:22.586+05:30,47,,10,42.7,211,,1,,,46
2023-12-07T11:22:24.760+05:30,48,,10,43.4,211,2,,,,47
2023-12-07T11:29:53.712+05:30,49,,9,44.5,111,2,,,,48
2023-12-07T11:33:32.678+05:30,50,,11,45.1,111,1,,,,49
2023-12-07T11:38:54.419+05:30,51,,12,46.1,111,,,,,50
2023-12-07T11:43:16.752+05:30,52,,10,46.9,111,,,,,51
2023-12-08T07:19:02.877+05:30,53,3,12,1,111,3,,,,52
2023-12-08T07:23:56.704+05:30,54,,13.0,1.2,111,1,,,,53
2023-12-08T07:28:43.118+05:30,55,,13.5,2.2,111,1,,,,54
2023-12-08T07:33:43.597+05:30,57,,12.0,3.25,121,1,,,Odo is in km now onwards,55
2023-12-08T07:39:05.284+05:30,59,,12.6,4.3,121,2,,,,56
2023-12-08T07:44:16.880+05:30,60,,12.3,5.4,221,2,,,,57
2023-12-08T07:53:47.885+05:30,61,,12.2,7.3,121,,,,,58
2023-12-08T07:59:17.089+05:30,63,,11.2,8.4,111,,,,Calm waters,59
2023-12-08T08:04:00.625+05:30,64,,12.2,9.4,211,,,,,60
2023-12-08T08:09:39.249+05:30,65,,13.0,10.5,221,,,,,61
2023-12-08T08:13:38.725+05:30,66,,11.5,11.3,321,,,,,62
2023-12-08T08:19:00.697+05:30,67,,11.6,12.3,221,,2,,,63
2023-12-08T08:25:22.749+05:30,68,,12.3,13.7,221,,2,,Tourist boats docked,64
2023-12-08T08:28:58.825+05:30,69,,12.1,14.4,211,,2,,,65
2023-12-08T08:38:20.049+05:30,70,,12.8,16.3,211,2,1,,,66
2023-12-08T08:43:55.163+05:30,71,,11.8,17.5,121,2,4,,,67
2023-12-08T08:49:39.514+05:30,72,,12.0,18.6,221,1,2,,,68
2023-12-08T09:11:16.324+05:30,80,,13.0,22.8,121,,,,1 travelling big boat,69
2023-12-08T09:16:56.957+05:30,82,,13.0,24.0,111,1,,,,70
2023-12-08T09:24:46.863+05:30,83,,11.5,25.7,221,,,,,71
2023-12-08T09:30:23.318+05:30,85,,12.5,26.8,231,1,2,,,72
2023-12-08T09:35:11.127+05:30,86,,12.0,,221,,,,,73
2023-12-08T09:44:31.886+05:30,88,,11.0,29.7,221,,,,1 patrol speed boat seen,74
2023-12-08T09:49:47.210+05:30,89,,10.0,30.5,221,,,,,75
2023-12-08T09:58:19.576+05:30,90,,10.0,32.0,211,,,3,,76
2023-12-08T10:02:18.678+05:30,91,,11.6,32.7,111,,,,,77
2023-12-08T10:07:01.259+05:30,92,,12.4,33.8,211,1,,1,,78
2023-12-08T10:13:18.252+05:30,93,,13.0,35.0,211,,,10,,79
2023-12-08T10:22:08.652+05:30,96,,12.0,36.8,211,,1,9,Lot of gulls,80
2023-12-08T10:31:44.627+05:30,98,,12.0,38.8,111,,11,,,81
2023-12-08T10:37:03.907+05:30,99,,12.0,39.7,221,,1,4,,82
2023-12-08T10:43:23.884+05:30,101,,12.7,41.1,111,1,,,,83
2023-12-09T07:23:48.291+05:30,102,2,15.0,1.2,111,2,,,,84
2023-12-09T07:29:02.437+05:30,103,,15.7,2.5,111,1,,,,85
2023-12-09T07:33:57.636+05:30,104,,16.0,3.9,211,1,,1,,86
2023-12-09T07:37:46.493+05:30,105,,14.5,4.9,211,,1,,,87
2023-12-09T07:49:08.377+05:30,108,,15.1,7.7,211,3,1,,,88
2023-12-09T07:54:53.222+05:30,109,,14.5,9.0,211,,,,,89
2023-12-09T08:00:19.266+05:30,110,,14.2,1.3,211,1,,,,90
2023-12-09T08:08:43.868+05:30,111,,13.7,12.3,211,,1,,,91
2023-12-09T08:15:06.042+05:30,112,,13.0,13.7,221,1,,,,92
2023-12-09T08:23:00.311+05:30,113,,12.1,15.6,211,2,,,,93
2023-12-09T08:29:08.182+05:30,114,,41.0,16.9,121,1,,,,94
2023-12-09T08:33:53.293+05:30,116,,14.4,18.0,111,2,,,,95
2023-12-09T08:39:29.253+05:30,117,,13.6,19.2,111,,1,,,96
2023-12-09T08:47:00.170+05:30,118,,13.7,21.0,211,,,,,97
2023-12-09T08:53:18.415+05:30,120,,11.8,22.0,211,1,,,2 gillnets in the water,98
2023-12-09T09:02:18.745+05:30,121,,12.4,23.9,121,,,,,99
2023-12-09T09:06:58.166+05:30,122,,13.4,24.9,211,,,,,100
2023-12-09T09:12:16.601+05:30,123,,12.7,56.0,221,,1,,,101
2023-12-09T09:17:58.856+05:30,121,,11.8,27.2,221,,,,,102
