start,Waypoint number,Beaufort state (1-10),Boat speed (kmph),"Distance travelled (odometer, km)",Visibility (WGF; all out of 3),Number of fishing boats: small/medium,Number of fishing boats: large,Number of tourist boats,Comments,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,Rep
2025-11-13T06:56:10.438+05:30,714,1,14,0.1,111,4,,,Day 1 morjim to miramar,604593496,d0b46e1d-9f94-4db9-8baf-f2908e26c494,2025-11-13T05:44:39,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,566,1
2025-11-13T07:00:05.532+05:30,715,,16,1,111,1,,,,604593503,9989ce9f-d173-45ed-a250-e6a9c874eab2,2025-11-13T05:44:40,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,567,1
2025-11-13T07:05:07.111+05:30,716,,13,2,111,1,,,,604593508,5f73ceed-4019-40f2-be53-630f61b3e79a,2025-11-13T05:44:41,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,568,1
2025-11-13T07:09:21.700+05:30,717,,12.5,3,211,,,,,604593510,4e07ff53-2498-4eef-9d03-0dd2292ed7be,2025-11-13T05:44:41,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,569,1
2025-11-13T07:13:35.783+05:30,718,,12.6,4,221,1,,,,604593514,87ea340a-8d60-45b3-beb7-34e0d308cf72,2025-11-13T05:44:42,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,570,1
2025-11-13T07:18:54.716+05:30,719,221,13.5,5,211,,,,,604593520,a97190e4-5d1a-45ec-9c7f-4ca9cb6b2da1,2025-11-13T05:44:42,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,571,1
2025-11-13T07:23:24.142+05:30,720,,12,6,221,,,,,604593522,9571880d-1ace-48e3-ad1e-eb7b4cbe82bd,2025-11-13T05:44:43,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,572,1
2025-11-13T07:28:20.092+05:30,722,,12.1,7,221,,,,1 mPS travelling north,604593530,a02a1d88-dfd0-488b-98e6-905c032de8f7,2025-11-13T05:44:44,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,573,1
2025-11-13T07:33:08.651+05:30,723,,12,8,211,,,,,604593536,91437b43-8c12-437b-829f-433b2276b85f,2025-11-13T05:44:44,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,574,1
2025-11-13T07:38:21.066+05:30,724,,12,9,211,,,,,604593544,6003b10c-c5be-4c91-b96a-8c60f9f70b30,2025-11-13T05:44:45,,,submitted_via_web,imran__samad,v8BmeYgSvybS8WAcqZ3YHv,,575,1
