Waypoint_number,Start,Distance_m,Angle,N_min,N_max,N_best,Start.location,End.location,Comments,X_index,rep,X,Y,ele,time,Transect.ID,sighting
,,200,90,,,2,,,,,2,,,,,T1,1
,,400,35,,,2,,,,,2,,,,,T1,2
,,500,45,,,4,,,,,2,,,,,T1,3
,,600,0,,,2,,,,,2,,,,,T1,4
,,75,-45,,,1,,,,,3,,,,,T1,1
,,100,-30,,,2,,,,,3,,,,,T1,2
,,200,-90,,,4,,,,,2,,,,,T2,1
,,70,90,,,3,Nerul,,,,1,,,,,T3,1
,,30,-90,,,4,,,,,1,,,,,T3,2
,,150,70,,,3,,,,,1,,,,,T3,3
,,200,-25,,,5,,,,,1,,,,,T3,4
,,70,30,,,1,,,,,2,,,,,T3,1
,,50,80,,,3,,,,,2,,,,,T3,2
,,130,100,,,3,,,,,2,,,,,T3,3
,,300,120,,,12,,,,,2,,,,,T3,4
,,250,45,,,11,,,,,2,,,,,T3,5
,,90,120,,,1,,,,,2,,,,,T3,6
,,800,330,,,5,,,,,2,,,,,T3,7
,,30,90,,,2,,,,,4,,,,,T3,1
,,50,90,,,3,,,,,4,,,,,T3,2
,,60,180,,,2,,,,,4,,,,,T3,3
,,30,90,,,3,,,,,4,,,,,T3,4
,,200,-10,,,3,,,,,4,,,,,T3,5
,,20,90,,,2,Aguada-redcross,,,,1,,,,,T4,1
,,80,90,,,3,,,,,2,,,,,T4,1
,,100,90,,,7,,,,,2,,,,,T4,2
,,60,90,,,5,,,,,2,,,,,T4,3
,,100,45,,,1,,,,,3,,,,,T4,1
,,200,-30,,,1,,,,,4,,,,,T4,1
,,10,-180,,,7,,,,,5,,,,,T4,1
,,30,-45,,,9,,,,,5,,,,,T4,2
,,70,45,,,13,redcross-baga,,,,1,,,,,T5,1
,,200,90,,,11,,,,,1,,,,,T5,2
,,500,90,,,4,,,,,1,,,,,T5,3
,,15,45,,,30,,,,,2,,,,,T5,1
,,35,45,,,10,,,,,2,,,,,T5,2
,,20,30,,,30,,,,,2,,,,,T5,3
,,100,-120,,,2,,,,,3,,,,,T5,1
,,30,-25,,,1,,,,,3,,,,,T5,2
,,20,25,,,6,vasco-islands,,,,1,,,,,T6,1
,,100,90,,,3,,,,,1,,,,,T6,2
,,70,45,,,4,,,,,1,,,,,T6,3
,,115,90,,,3,,,,,1,,,,,T6,4
,,250,45,,,11,,,,,2,,,,,T6,1
,,800,-35,,,11,,,,,2,,,,,T6,2
,,250,45,,,1,,,,,3,,,,,T6,1
,,50,0,,,2,,,,,3,,,,,T6,2
,,100,90,,,10,,,,,3,,,,,T6,3
,,150,120,,,8,,,,,3,,,,,T6,4
,,200,0,,,14,,,,,3,,,,,T6,5
,,250,75,,,19,,,,,3,,,,,T6,6
,,100,100,,,3,,,,,3,,,,,T6,7
,,250,25,,,5,,,,,3,,,,,T6,8
,,200,45,,,4,,,,,3,,,,,T6,9
,,400,0,,,1,,,,,4,,,,,T6,1
,,300,0,,,7,,,,,4,,,,,T6,2
,,100,0,,,1,,,,,4,,,,,T6,3
,,100,70,,,1,,,,,5,,,,,T6,1
,,50,120,,,3,,,,,5,,,,,T6,2
,,75,90,,,13,,,,,5,,,,,T6,3
,,200,90,,,6,,,,,5,,,,,T6,4
,,75,45,,,3,,,,,5,,,,,T6,5
,,100,0,,,1,,,,,5,,,,,T6,6
,,20,0,,,24,chapora-morjim,,,,1,,,,,T7,1
,,50,20,,,3,,,,,1,,,,,T7,2
,,250,-25,,,35,,,,,2,,,,,T7,1
,,50,35,,,1,morjim-mandrem,,,,1,,,,,T8,1
,,100,0,,,6,,,,,2,,,,,T8,1
,,400,90,,,3,mandrem-harmal,,,,1,,,,,T9,1
,,400,120,,,6,,,,,1,,,,,T9,2
,,400,350,,,9,,,,,1,,,,,T9,3
,,600,-90,,,4,,,,,1,,,,,T9,4
,,400,0,,,5,,,,,1,,,,,T9,5
,,20,0,,,1,,,,,2,,,,,T9,1
,,200,-45,,,9,,,,,2,,,,,T9,2
,,200,0,,,4,,,,,2,,,,,T9,3
,,100,0,,,2,,,,,3,,,,,T9,1
,,100,-120,,,15,,,,,3,,,,,T9,2
,,10,-90,,,7,anjuna-chapora,,,,1,,,,,T10,1
,,150,20,,,2,,,,,3,,,,,T10,1
,,500,75,,,11,,,,,3,,,,,T10,2
,,250,90,,,2,,,,,3,,,,,T10,3
,,150,-180,,,5,,,,,3,,,,,T10,4
