Waypoint_number,Start,Distance_m,Angle,N_min,N_max,N_best,Start.location,End.location,Comments,X_index,rep,X,Y,ele,time,Transect.ID
24,07-12-2023,100,0,2,5,4,Morjim,Morjim,Small pod. 2 kayaks nearby,4,1,73.677049,15.715615,-1.481026,53:14.0,1
49,07-12-2023,150,10,2,2,2,,,Mother calf pair ,5,2,73.713374,15.609139,2.687431,58:45.0,1
56,08-12-2023,250,-20,1,2,1,Morjim,Panjim,,6,1,73.716021,15.59641,3.588898,59:39.0,2
58,08-12-2023,200,60,1,1,1,,,,7,1,73.717134,15.591039,3.470627,05:53.0,2
62,08-12-2023,75,-50,4,5,4,,,,8,1,73.737005,15.56691,3.585495,25:42.0,2
73,08-12-2023,200,60,4,7,5,Morjim,Panjim,,1,1,73.753298,15.498797,3.307343,26:38.0,2
74,08-12-2023,400,85,3,4,4,Morjim,Panjim,,2,1,73.759904,15.49492,3.709564,30:51.0,2
74,08-12-2023,400,-15,8,20,14,Morjim,Panjim,,3,1,73.759904,15.49492,3.709564,30:51.0,2
75,08-12-2023,200,70,1,2,1,,,,9,1,73.762145,15.493155,3.39756,32:29.0,2
76,08-12-2023,200,10,6,10,8,,,,10,1,73.765271,15.489948,2.391335,35:04.0,2
77,08-12-2023,450,0,1,1,1,,,,11,1,73.76656,15.48728,3.771423,36:46.0,2
78,08-12-2023,250,80,5,6,5,,,,12,1,73.768047,15.484254,3.934265,38:43.0,2
79,08-12-2023,450,90,2,2,2,,,,13,1,73.768708,15.48295,4.703568,39:33.0,2
81,08-12-2023,350,-80,1,2,2,,,,14,1,73.767864,15.480237,1.934273,41:28.0,2
84,08-12-2023,150,-70,1,1,1,,,,15,1,73.754026,15.466399,1.091995,55:19.0,2
87,08-12-2023,350,-90,2,2,2,,,,16,1,73.770793,15.440434,-1.499321,12:25.0,2
94,08-12-2023,150,60,1,1,1,,,,17,1,73.776176,15.467763,6.928581,48:04.0,2
95,08-12-2023,450,-90,1,1,1,,,,19,1,73.775385,15.470831,9.158043,49:45.0,2
95,08-12-2023,200,-90,1,1,1,,,,18,1,73.775385,15.470831,9.158043,49:45.0,2
97,08-12-2023,500,-90,1,2,1,,,,20,1,73.77461,15.484472,2.372009,57:15.0,2
100,08-12-2023,450,-90,1,1,1,,,,21,1,73.792112,15.485548,3.830299,10:58.0,2
106,09-12-2023,80,15,1,1,1,Panjim,Betul,,22,1,73.769012,15.435206,0.850304,09:35.0,3
107,09-12-2023,90,0,2,3,2,,,,23,1,73.766981,15.429762,1.51619,12:13.0,3
115,09-12-2023,420,30,2,3,2,,,Fishing boat nearby,24,1,73.803779,15.354874,3.807167,00:49.0,3
119,09-12-2023,30,0,12,17,15,,,,25,1,73.84055,15.356598,5.09478,18:46.0,3
127,09-12-2023,60,60,2,2,2,,,,26,1,73.885806,15.331403,-0.806259,04:38.0,3
141,09-12-2023,300,120,1,1,1,,,,27,1,73.916997,15.21977,-1.284737,49:01.0,3
142,09-12-2023,130,-60,3,4,3,,,,28,1,73.916383,15.218591,0.901138,49:57.0,3
146,09-12-2023,520,60,1,1,1,,,,29,1,73.928399,15.190436,1.056763,09:56.0,3
162,10-12-2023,380,-45,2,5,3,Betul,Canacona,Near fishing boat,30,1,73.910101,15.087442,2.587662,05:07.0,4
170,10-12-2023,200,0,3,5,3,,,,31,1,73.957046,15.05933,2.569786,49:16.0,4
172,10-12-2023,250,150,1,1,1,,,,32,1,73.961343,15.056944,1.9673,54:47.0,4
177,10-12-2023,75,50,2,2,2,,,,33,1,73.983215,15.024551,3.940636,28:36.0,4
178,10-12-2023,40,-120,1,1,1,,,,34,1,73.984812,15.023808,3.37645,29:58.0,4
183,10-12-2023,15,-20,2,2,2,,,,35,1,74.011596,15.000375,-1.123329,56:35.0,4
186,10-12-2023,360,25,5,9,7,,,,36,1,74.029516,14.991863,2.288483,09:32.0,4
190,10-12-2023,260,-35,5,9,7,,,,37,1,74.019196,14.970843,-0.295685,25:26.0,4
194,10-12-2023,60,0,2,3,2,,,,38,1,74.042829,14.954041,-0.391136,43:12.0,4
195,10-12-2023,180,40,6,9,7,,,,39,1,74.039394,14.953059,-1.52845,45:02.0,4
200,10-12-2023,420,-50,1,2,2,,,,40,1,74.035277,14.925582,0.819031,08:45.0,4
202,10-12-2023,300,20,2,2,2,,,Returning to canacona,41,2,74.035935,14.925605,0.800781,16:59.0,4
203,10-12-2023,200,90,1,1,1,,,,42,2,74.034379,14.927547,2.412445,18:04.0,4
210,10-12-2023,440,40,4,6,6,,,Ending here,43,2,74.028369,14.978548,-0.690483,44:54.0,4
211,10-12-2023,270,-60,1,1,1,,,,44,2,74.030061,14.98084,3.171539,46:19.0,4
217,11-12-2023,480,60,6,8,6,,,,45,2,74.024162,14.991631,1.55056,52:28.0,4
218,11-12-2023,250,-130,1,2,1,Canacona,Betul,,46,2,74.025344,14.994477,1.300056,54:42.0,4
220,11-12-2023,300,90,2,2,2,,,3 kayaks around Dolphins,47,2,74.017058,15.003598,0.384361,02:35.0,4
221,11-12-2023,520,-85,1,2,1,,,,48,2,73.995304,15.011253,1.130875,14:31.0,4
227,11-12-2023,450,80,5,9,7,,,,49,2,73.982521,15.035598,1.308662,42:09.0,4
235,11-12-2023,130,-75,9,15,12,,,,50,2,73.936312,15.067782,3.641144,23:55.0,4
242,11-12-2023,400,15,4,6,5,,,Very close to the rock ,51,2,73.91661,15.105913,1.467369,08:41.0,4
246,11-12-2023,380,10,1,1,1,,,Feeding from Gillnet?,52,2,73.93519,15.126451,3.991203,30:56.0,4
249,11-12-2023,60,-150,2,2,2,,,Ending survey,53,2,73.932555,15.139186,4.478851,46:59.0,4
251,11-12-2023,50,-90,1,1,1,,,Close to the beach. At river entry,54,2,73.948138,15.142546,7.322929,57:07.0,4
263,12-12-2023,80,40,1,1,1,Betul,Panjim,,55,2,73.924643,15.21507,1.519829,21:47.0,3
264,12-12-2023,150,-30,1,1,1,,,,56,2,73.925682,15.216977,2.546356,22:56.0,3
275,12-12-2023,400,80,2,2,2,,,,57,2,73.889966,15.314656,3.383186,39:43.0,3
276,12-12-2023,130,-20,7,10,8,,,Stopped boat here for 10 mins. Dolphins were probably fighting in the beginning and stopped later,58,2,73.888377,15.31551,1.659111,40:37.0,3
279,12-12-2023,550,0,2,3,3,,,,59,2,73.877338,15.352982,6.325928,18:40.0,3
280,12-12-2023,360,-90,3,4,3,,,1 trawler Trawling,60,2,73.878449,15.35472,5.575981,19:47.0,3
281,12-12-2023,300,0,3,5,4,,,,61,2,73.877087,15.358524,5.959114,22:21.0,3
282,12-12-2023,250,-40,3,4,3,,,,62,2,73.873482,15.358812,2.121811,24:12.0,3
284,12-12-2023,600,-80,1,2,1,,,,63,2,73.844107,15.358845,2.332886,52:04.0,3
