Start,Waypoint_number,Distance_m,Angle,N_min,N_max,N_best,Start location,End location,Comments,_index,rep
20-04-2025,319,60,-40,3,5,3,,,,96,1
19-04-2025,353,30,40,1,2,1,Morjim,Miramar,,79,1
19-04-2025,358,150,-120,4,6,5,,,,80,1
20-04-2025,388,30,-30,1,2,2,Miramar,Betul,,81,1
20-04-2025,391,200,-120,1,2,2,,,,82,1
20-04-2025,392,200,-70,2,2,2,,,,83,1
20-04-2025,396,80,60,2,3,3,,,,84,1
20-04-2025,402,160,-20,5,7,6,,,,85,1
20-04-2025,407,100,-20,9,12,9,,,Moving with a trawler,86,1
20-04-2025,408,180,-90,1,1,1,,,,87,1
20-04-2025,410,200,-10,2,2,2,,,,88,1
20-04-2025,412,80,20,1,2,1,,,,89,1
20-04-2025,413,120,-90,1,1,1,,,Following a ps boat?,90,1
20-04-2025,414,80,0,1,1,1,,,,91,1
20-04-2025,415,90,30,1,1,1,,,,92,1
20-04-2025,416,220,-40,3,6,5,,,,93,1
20-04-2025,417,180,20,1,1,1,,,Many dolphins in this area,94,1
20-04-2025,418,90,90,10,13,10,,,,95,1
20-04-2025,422,110,30,2,3,3,,,Fish shoals around,97,1
20-04-2025,423,30,-90,1,2,2,,,,98,1
20-04-2025,428,160,0,1,2,2,,,Next to a large purse seine,99,1
20-04-2025,429,80,-30,1,1,1,,,Near 2 purse seines,100,1
20-04-2025,430,200,-90,4,5,5,,,,101,1
20-04-2025,432,300,90,2,3,3,,,,102,1
20-04-2025,433,80,30,2,2,2,,,,103,1
20-04-2025,434,100,60,1,1,1,,,,104,1
20-04-2025,435,120,30,2,3,2,,,,105,1
20-04-2025,436,30,0,3,4,3,,,,106,1
20-04-2025,439,70,-40,1,1,1,,,,107,1
20-04-2025,442,110,0,1,1,1,,,,108,1
20-04-2025,449,90,0,1,1,1,,,,109,1
20-04-2025,450,90,-60,3,4,3,,,,110,1
20-04-2025,451,100,0,2,2,2,,,,111,1
20-04-2025,455,140,90,3,3,3,,,,112,1
21-04-2025,461,100,-30,3,5,4,Betul,Rajbagh,,113,1
21-04-2025,462,200,-90,1,1,1,,,,114,1
21-04-2025,463,150,-90,2,3,2,,,,115,1
21-04-2025,465,80,-30,2,3,2,,,,116,1
21-04-2025,469,60,20,2,3,2,,,,117,1
21-04-2025,472,250,10,2,4,3,,,,118,1
21-04-2025,473,50,-60,2,3,2,,,,119,1
21-04-2025,474,90,0,2,4,3,,,,120,1
21-04-2025,475,150,60,1,2,2,,,,122,1
21-04-2025,476,150,-80,3,4,3,,,,121,1
21-04-2025,476,,0,1,2,1,,,,123,1
21-04-2025,477,220,30,1,1,1,,,,124,1
21-04-2025,478,80,60,3,5,4,,,,125,1
21-04-2025,479,300,90,1,2,2,,,,126,1
21-04-2025,485,150,-50,1,1,1,,,Behind trawler,127,1
21-04-2025,486,90,0,1,1,1,,,Behind trawler,128,1
21-04-2025,493,220,-50,1,1,1,,,,129,1
21-04-2025,494,100,10,1,3,2,,,,130,1
21-04-2025,496,250,-20,1,1,1,,,,131,1
21-04-2025,503,60,0,1,1,1,,,,132,1
21-04-2025,509,120,0,1,1,1,,,,133,1
21-04-2025,511,80,-10,2,5,3,,,,134,1
21-04-2025,513,80,-45,2,2,2,,,,135,1
21-04-2025,515,30,90,1,1,1,,,Finless porpoise adult,136,1
22-04-2025,531,300,-10,2,3,2,Rajbagh,Betul,,137,2
22-04-2025,532,100,-45,1,1,1,,,,138,2
22-04-2025,533,100,-90,1,1,1,,,,139,2
22-04-2025,534,120,0,2,3,2,,,Plenty of fish shoals,140,2
22-04-2025,538,160,70,1,1,1,,,,141,2
22-04-2025,544,80,-50,1,1,1,,,,142,2
22-04-2025,565,10,50,1,1,1,,,,143,2
23-04-2025,574,80,20,1,1,1,Betul,Miramar,Replicate,149,2
23-04-2025,588,50,0,2,3,2,,,,144,2
23-04-2025,600,50,0,1,1,1,,,Close to purse seine,145,2
23-04-2025,605,80,10,2,2,2,,,Very calm waters,146,2
23-04-2025,615,70,90,3,5,3,,,,147,2
23-04-2025,628,30,10,1,2,1,,,Inside the bay,148,2
24-04-2025,642,30,60,1,1,1,Miramar,Morjim,,151,2
24-04-2025,650,100,30,1,1,1,,,,152,2
24-04-2025,651,150,-50,1,1,1,,,,153,2
24-04-2025,653,400,40,2,3,3,,,Jumps,154,2
24-04-2025,654,80,20,3,3,3,,,Behind trawler,155,2
24-04-2025,655,100,-20,2,3,2,,,Trawler ,156,2
24-04-2025,657,90,60,4,5,4,,,,157,2
24-04-2025,657,100,80,5,6,5,,,,158,2
24-04-2025,658,120,30,3,5,3,,,,159,2
24-04-2025,660,60,10,8,12,8,,,,160,2
24-04-2025,661,150,-10,1,2,2,,,,161,2
24-04-2025,662,140,80,3,5,5,,,,162,2
24-04-2025,663,250,-50,3,5,3,,,,163,2
24-04-2025,672,80,0,1,1,1,,,,164,2
24-04-2025,675,250,-60,2,3,2,,,1 ps nearby,165,1
