id,left,top,right,bottom,n,distance,feature_x,feature_y,nearest_x,nearest_y
196,73.38,15.985,73.425,15.94,1,9949.34761,73.4025,15.9625,73.4548645,15.88986206
197,73.38,15.94,73.425,15.895,1,6565.72967,73.4025,15.9175,73.45458221,15.88958359
198,73.38,15.895,73.425,15.85,1,6052.936448,73.4025,15.8725,73.45458221,15.88847446
243,73.425,15.985,73.47,15.94,1,5334.900175,73.4475,15.9625,73.49041748,15.98402882
244,73.425,15.94,73.47,15.895,1,3111.92386,73.4475,15.9175,73.46541595,15.89597225
245,73.425,15.895,73.47,15.85,1,1889.789267,73.4475,15.8725,73.45625305,15.88708305
246,73.425,15.85,73.47,15.805,1,6691.328141,73.4475,15.8275,73.45625305,15.88708305
290,73.47,15.985,73.515,15.94,1,1135.273283,73.4925,15.9625,73.49986267,15.96958447
291,73.47,15.94,73.515,15.895,1,2928.290285,73.4925,15.9175,73.51013947,15.93708134
292,73.47,15.895,73.515,15.85,1,3500.087263,73.4925,15.8725,73.46457672,15.88708115
293,73.47,15.85,73.515,15.805,1,7296.262107,73.4925,15.8275,73.46430206,15.88680458
294,73.47,15.805,73.515,15.76,1,12005.31555,73.4925,15.7825,73.46430206,15.88680458
338,73.515,15.94,73.56,15.895,1,1689.457818,73.5375,15.9175,73.54708099,15.92930698
339,73.515,15.895,73.56,15.85,1,5651.971961,73.5375,15.8725,73.56874847,15.91263866
340,73.515,15.85,73.56,15.805,1,8904.031891,73.5375,15.8275,73.61292267,15.85458088
341,73.515,15.805,73.56,15.76,1,11575.75182,73.5375,15.7825,73.63625336,15.81569386
342,73.515,15.76,73.56,15.715,1,12364.88542,73.5375,15.7375,73.64848328,15.74569035
385,73.56,15.94,73.605,15.895,1,0,73.5825,15.9175,73.5825,15.9175
386,73.56,15.895,73.605,15.85,1,2385.284813,73.5825,15.8725,73.59874725,15.88653183
387,73.56,15.85,73.605,15.805,1,4525.48285,73.5825,15.8275,73.61292267,15.85458088
388,73.56,15.805,73.605,15.76,1,7019.527952,73.5825,15.7825,73.63625336,15.81569386
389,73.56,15.76,73.605,15.715,1,7387.665819,73.5825,15.7375,73.64848328,15.74569035
390,73.56,15.715,73.605,15.67,1,9416.862983,73.5825,15.6925,73.64848328,15.74569035
391,73.56,15.67,73.605,15.625,1,13144.42888,73.5825,15.6475,73.64848328,15.74569035
433,73.605,15.895,73.65,15.85,1,0,73.6275,15.8725,73.6275,15.8725
434,73.605,15.85,73.65,15.805,1,879.4285448,73.6275,15.8275,73.63485718,15.83041859
435,73.605,15.805,73.65,15.76,1,3031.491383,73.6275,15.7825,73.65429688,15.78763103
436,73.605,15.76,73.65,15.715,1,2502.762679,73.6275,15.7375,73.64848328,15.74569035
437,73.605,15.715,73.65,15.67,1,6220.113893,73.6275,15.6925,73.6673584,15.73180962
438,73.605,15.67,73.65,15.625,1,9198.592655,73.6275,15.6475,73.70513916,15.67624092
439,73.605,15.625,73.65,15.58,1,10905.78685,73.6275,15.6025,73.7179184,15.6406908
440,73.605,15.58,73.65,15.535,1,12093.62406,73.6275,15.5575,73.73124695,15.59041691
441,73.605,15.535,73.65,15.49,1,13820.91416,73.6275,15.5125,73.7409668,15.56347084
442,73.605,15.49,73.65,15.445,1,15508.38527,73.6275,15.4675,73.76431274,15.49514008
482,73.65,15.805,73.695,15.76,1,0,73.6725,15.7825,73.6725,15.7825
483,73.65,15.76,73.695,15.715,1,0,73.6725,15.7375,73.6725,15.7375
484,73.65,15.715,73.695,15.67,1,2548.94163,73.6725,15.6925,73.69403076,15.70041847
485,73.65,15.67,73.695,15.625,1,4607.855799,73.6725,15.6475,73.71291351,15.65680599
486,73.65,15.625,73.695,15.58,1,6361.57434,73.6725,15.6025,73.72264099,15.6301403
487,73.65,15.58,73.695,15.535,1,7476.558406,73.6725,15.5575,73.73179626,15.58930969
488,73.65,15.535,73.695,15.49,1,9483.958605,73.6725,15.5125,73.7409668,15.56347084
489,73.65,15.49,73.695,15.445,1,10653.56249,73.6725,15.4675,73.76431274,15.49514008
490,73.65,15.445,73.695,15.4,1,12289.2267,73.6725,15.4225,73.78263855,15.4123621
491,73.65,15.4,73.695,15.355,1,10140.55385,73.6725,15.3775,73.76069641,15.35402966
492,73.65,15.355,73.695,15.31,1,10038.1193,73.6725,15.3325,73.76069641,15.3520813
531,73.695,15.715,73.74,15.67,1,0,73.7175,15.6925,73.7175,15.6925
532,73.695,15.67,73.74,15.625,1,0,73.7175,15.6475,73.7175,15.6475
533,73.695,15.625,73.74,15.58,1,1602.124269,73.7175,15.6025,73.73097229,15.60763931
534,73.695,15.58,73.74,15.535,1,2684.188912,73.7175,15.5575,73.74041748,15.56514168
535,73.695,15.535,73.74,15.49,1,4932.712212,73.7175,15.5125,73.76013947,15.52486038
536,73.695,15.49,73.74,15.445,1,6034.660163,73.7175,15.4675,73.76457977,15.49458027
