Number,id,Day,Month,Year,Region,Species,Species_co,Geotag_rea,Descriptio,Location.a,Descript_1,Image.s.,Audio.Vide,Geotag_rec,Geotag_all,Comments,Sex,Age.Class,Death_code,PMI_min,PMI_max,Source,lat,lon,No,flag,org_cell,new_no,new_flag,new_org_ce,Comments_1
NA,1,8,10,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,M,C,1,0.5,1,Whatsapp - 11.10.25,15.20610432,73.93266907,NA,NA,,NA,,,
NA,2,6,10,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,4,5,8,Whatsapp - 11.10.25,15.24884893,73.92088648,NA,NA,,NA,,,
NA,3,5,10,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,M,SA,3,2,5,Whatsapp - 11.10.25,15.04260833,73.98591921,NA,NA,,NA,,,
NA,4,2,10,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,4,4,6,Whatsapp - 11.10.25,15.57401364,73.74068198,NA,NA,,NA,,,
NA,5,2,10,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,2,3,Whatsapp - 11.10.25,15.35284217,73.8845562,NA,NA,,NA,,,
NA,7,30,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,M,SA,3,2,3,Whatsapp - 11.10.25,15.24884893,73.92088648,NA,NA,,NA,,,
NA,8,30,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,2,3,Whatsapp - 11.10.25,15.64229724,73.71800347,NA,NA,,NA,,,
NA,9,29,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,M,SA,3,2,3,Whatsapp - 11.10.25,15.54493271,73.7549767,NA,NA,,NA,,,
NA,10,29,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,C,3,2,4,Whatsapp - 11.10.25,15.31942492,73.89851757,NA,NA,,NA,,,
NA,11,29,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,M,,3,2,3,Whatsapp - 11.10.25,15.35284217,73.8845562,NA,NA,,NA,,,
NA,12,28,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,3,5,Whatsapp - 11.10.25,15.5612067,73.74873617,NA,NA,,NA,,,
NA,13,26,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,2,1,2,Whatsapp - 11.10.25,15.24884893,73.92088648,NA,NA,,NA,,,
NA,14,25,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,6,8,Whatsapp - 11.10.25,15.16859563,73.94232229,NA,NA,,NA,,,
NA,15,25,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,A,3,2,3,Whatsapp - 11.10.25,15.66820788,73.70952956,NA,NA,,NA,,,
NA,16,23,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,3,5,Whatsapp - 11.10.25,14.97856949,74.04153968,NA,NA,,NA,,,
NA,17,22,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,C,2,0.5,1,Whatsapp - 11.10.25,15.70833322,73.69346311,NA,NA,,NA,,,
NA,18,20,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,2,1,3,Whatsapp - 11.10.25,15.24884893,73.92088648,NA,NA,,NA,,,
NA,19,18,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,C,3,2,3,Whatsapp - 11.10.25,15.20610432,73.93266907,NA,NA,,NA,,,
NA,20,18,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,,NA,NA,Whatsapp - 11.10.25,15.29374857,73.90747058,NA,NA,,NA,,,Whatsapp - 25/10/25
NA,21,17,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,2,1,2,Whatsapp - 11.10.25,15.49931807,73.76740638,NA,NA,,NA,,,
NA,22,14,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,2,1,2,Whatsapp - 11.10.25,15.31942492,73.89851757,NA,NA,,NA,,,
NA,23,14,9,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,2,3,Whatsapp - 11.10.25,15.61701216,73.73286086,NA,NA,,NA,,,
NA,24,9,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,3,3,4,Whatsapp - 11.10.25,15.29374857,73.90747058,NA,NA,,NA,,,
NA,25,9,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,C,2,0.5,1,Whatsapp - 11.10.25,15.04260833,73.98591921,NA,NA,,NA,,,
NA,26,7,9,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,,NA,NA,Whatsapp - 11.10.25,15.29374857,73.90747058,NA,NA,,NA,,,
NA,29,27,8,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,2,2,3,Whatsapp - 11.10.25,14.99667863,74.03384074,NA,NA,,NA,,,
NA,30,26,8,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,3,5,Whatsapp - 11.10.25,15.16859563,73.94232229,NA,NA,,NA,,,
NA,32,20,8,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,2,3,Whatsapp - 11.10.25,15.29374857,73.90747058,NA,NA,,NA,,,
NA,33,20,8,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,C,2,0.5,1,Whatsapp - 11.10.25,15.60397325,73.73314466,NA,NA,,NA,,,
NA,34,18,8,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,C,3,2,4,Whatsapp - 11.10.25,15.16859563,73.94232229,NA,NA,,NA,,,
NA,38,7,8,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,4,6,Whatsapp - 11.10.25,14.95974234,74.04898888,NA,NA,,NA,,,
NA,41,2,8,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,M,C,3,2,3,Whatsapp - 11.10.25,15.04260833,73.98591921,NA,NA,,NA,,,
NA,44,13,7,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,2,0.5,1,Whatsapp - 11.10.25,15.04260833,73.98591921,NA,NA,,NA,,,
NA,45,13,7,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,2,3,Whatsapp - 11.10.25,15.57401364,73.74068198,NA,NA,,NA,,,
