ele,time,name,xcoord,ycoord,zcoord
0.073914,19-04-2025 01:19,344,73.737992,15.611936,0.073914
-0.15683,19-04-2025 01:25,345,73.727711,15.605711,-0.15683
-0.952271,19-04-2025 01:31,346,73.723752,15.598133,-0.952271
-1.561691,19-04-2025 01:36,347,73.717376,15.58949,-1.561691
1.068169,19-04-2025 01:43,348,73.723847,15.581717,1.068169
1.434692,19-04-2025 01:46,349,73.728659,15.578668,1.434692
0.379234,19-04-2025 01:57,350,73.726783,15.565991,0.379234
0.215492,19-04-2025 01:57,351,73.726666,15.565847,0.215492
-0.742805,19-04-2025 02:01,352,73.725286,15.559827,-0.742805
0.819221,19-04-2025 02:04,353,73.72872,15.557544,0.819221
-1.286697,19-04-2025 02:07,354,73.7347,15.553797,-1.286697
-1.152962,19-04-2025 02:13,355,73.743676,15.551202,-1.152962
-0.856735,19-04-2025 02:18,356,73.746332,15.546688,-0.856735
-0.189758,19-04-2025 02:23,357,73.741806,15.540707,-0.189758
-0.211784,19-04-2025 02:24,358,73.740419,15.539023,-0.211784
0.611626,19-04-2025 02:27,359,73.737883,15.534243,0.611626
0.617355,19-04-2025 02:32,360,73.737914,15.527917,0.617355
0.818398,19-04-2025 02:38,361,73.747927,15.527507,0.818398
1.305084,19-04-2025 02:44,362,73.756709,15.526531,1.305084
-1.517159,19-04-2025 02:52,363,73.748334,15.516212,-1.517159
0.282204,19-04-2025 03:02,364,73.754835,15.505071,0.282204
0.257095,19-04-2025 03:06,365,73.760378,15.499399,0.257095
-0.302681,19-04-2025 03:11,366,73.764326,15.492766,-0.302681
1.91526,19-04-2025 03:18,367,73.773036,15.48775,1.91526
0.301079,19-04-2025 03:25,368,73.780979,15.489756,0.301079
0.386124,19-04-2025 03:30,369,73.787564,15.488972,0.386124
0.313705,19-04-2025 03:35,370,73.788552,15.480569,0.313705
1.19503,19-04-2025 03:39,371,73.789027,15.471251,1.19503
2.628998,19-04-2025 03:43,372,73.793799,15.464065,2.628998
2.551483,19-04-2025 03:47,373,73.797593,15.462212,2.551483
