X,Y,ele,time,name
73.724407,15.605681,0.91256,59:48.0,1
73.715831,15.603888,-0.755844,04:35.0,2
73.709041,15.603445,0.013748,08:16.0,3
73.701346,15.604822,-0.090866,12:30.0,4
73.693076,15.607145,-0.161705,17:20.0,5
73.683765,15.609926,-0.33947,22:35.0,6
73.675865,15.611888,0.761032,27:06.0,7
73.66551,15.611231,1.536041,32:47.0,8
73.655633,15.611228,0.091843,37:56.0,9
73.647289,15.611641,1.447433,42:06.0,10
73.65427,15.618815,1.379845,48:59.0,11
73.660068,15.624234,4.992729,53:28.0,12
73.661075,15.632425,0.281822,58:00.0,13
73.662354,15.641313,-2.368988,02:48.0,14
73.664197,15.65047,0.135429,07:48.0,15
73.665349,15.658582,0.307884,12:11.0,16
73.665202,15.667805,0.755409,17:03.0,17
73.664988,15.671022,0.089851,22:35.0,18
73.664308,15.680588,-1.916916,27:41.0,19
73.662618,15.688187,0.101669,32:15.0,20
73.662673,15.696202,0.889084,37:28.0,21
73.664388,15.702471,0.907204,41:36.0,22
73.673394,15.711166,-0.283714,49:24.0,23
73.677049,15.715615,-1.481026,53:14.0,24
73.678149,15.716884,-0.546478,54:23.0,25
73.681491,15.720536,-0.830276,57:56.0,26
73.68185,15.717035,-1.921791,09:01.0,27
73.678933,15.70908,1.043999,13:51.0,28
73.675642,15.701903,1.972549,18:40.0,29
73.675248,15.693892,-1.4935,24:22.0,30
73.671357,15.687964,0.875969,29:01.0,31
73.66719,15.681229,-0.624504,34:01.0,32
73.671851,15.681128,1.85923,39:55.0,33
73.67764,15.68043,-0.036301,43:57.0,34
73.686039,15.675902,3.761475,50:42.0,35
73.690804,15.67291,3.911461,54:36.0,36
73.696011,15.669804,3.392937,58:41.0,37
73.70204,15.664451,7.72081,04:03.0,38
73.706681,15.660642,1.791252,07:57.0,39
73.704918,15.652587,1.999016,14:35.0,40
73.699785,15.645703,4.173981,19:46.0,41
73.694201,15.636225,8.566536,26:40.0,42
73.692423,15.633327,8.306244,28:45.0,43
73.688257,15.624557,11.206253,34:45.0,44
73.686055,15.619298,3.794434,39:27.0,45
73.692707,15.615584,5.465416,44:28.0,46
73.69861,15.614314,2.219627,48:26.0,47
73.704386,15.612238,5.699829,52:21.0,48
73.713374,15.609139,2.687431,58:45.0,49
73.719796,15.607431,-1.216324,03:19.0,50
73.728366,15.6065,-3.55928,08:40.0,51
73.734682,15.609106,-2.322693,13:04.0,52
73.732225,15.608875,1.352951,49:01.0,53
73.72576,15.602079,1.153893,53:52.0,54
73.717551,15.597681,2.812332,58:40.0,55
73.716021,15.59641,3.588898,59:39.0,56
73.712977,15.591108,7.181656,03:37.0,57
73.717134,15.591039,3.470627,05:53.0,58
73.720604,15.586752,3.76165,08:59.0,59
73.725437,15.578352,4.47065,14:07.0,60
73.738233,15.569839,4.832756,23:38.0,61
73.737005,15.56691,3.585495,25:42.0,62
73.732412,15.562521,3.219482,29:09.0,63
73.725395,15.557101,4.007774,33:55.0,64
73.728335,15.552207,5.798798,39:36.0,65
73.734819,15.549192,4.953522,43:34.0,66
73.743381,15.54488,4.234062,48:56.0,67
73.753519,15.53911,3.561226,55:19.0,68
73.751707,15.534687,5.853828,58:54.0,69
73.742325,15.519805,7.36869,08:17.0,70
73.737101,15.510897,3.822609,13:48.0,71
73.742328,15.50534,2.622566,19:31.0,72
73.753298,15.498797,3.307343,26:38.0,73
73.759904,15.49492,3.709564,30:51.0,74
73.762145,15.493155,3.39756,32:29.0,75
73.765271,15.489948,2.391335,35:04.0,76
73.76656,15.48728,3.771423,36:46.0,77
73.768047,15.484254,3.934265,38:43.0,78
73.768708,15.48295,4.703568,39:33.0,79
73.76861,15.480752,2.38562,41:00.0,80
73.767864,15.480237,1.934273,41:28.0,81
73.758469,15.475238,1.675179,46:53.0,82
73.753153,15.467175,1.387573,54:40.0,83
73.754026,15.466399,1.091995,55:19.0,84
73.759822,15.460062,1.162483,00:11.0,85
73.764173,15.452401,-0.894325,05:00.0,86
73.770793,15.440434,-1.499321,12:25.0,87
73.773202,15.437714,1.464775,14:25.0,88
73.780126,15.435819,3.778877,19:41.0,89
73.791695,15.438329,3.334343,28:13.0,90
73.792859,15.444939,3.133408,32:15.0,91
73.789033,15.45248,2.666885,36:56.0,92
73.779732,15.459843,5.117538,43:11.0,93
73.776176,15.467763,6.928581,48:04.0,94
73.775385,15.470831,9.158043,49:45.0,95
73.774956,15.475163,8.347305,52:05.0,96
73.77461,15.484472,2.372009,57:15.0,97
73.779579,15.489422,1.625633,01:42.0,98
73.787487,15.491724,4.770866,06:56.0,99
73.792112,15.485548,3.830299,10:58.0,100
73.795753,15.482037,3.278534,13:23.0,101
73.787666,15.466143,4.304008,53:51.0,102
73.78214,15.45664,2.362228,58:55.0,103
73.776537,15.446568,0.743042,03:52.0,104
73.771042,15.438976,0.828148,07:41.0,105
73.769012,15.435206,0.850304,09:35.0,106
73.766981,15.429762,1.51619,12:13.0,107
73.758163,15.417094,1.172455,19:03.0,108
73.762062,15.408515,0.622803,24:45.0,109
73.767075,15.397785,3.086617,30:14.0,110
73.775727,15.382261,2.205414,38:35.0,111
73.780382,15.370015,0.897591,44:59.0,112
73.788067,15.356294,2.00148,52:47.0,113
73.800153,15.354584,2.401924,59:01.0,114
73.803779,15.354874,3.807167,00:49.0,115
73.809347,15.356381,4.4925,03:41.0,116
73.821351,15.355172,4.499237,09:24.0,117
73.836833,15.355766,3.27298,16:52.0,118
73.84055,15.356598,5.09478,18:46.0,119
73.847485,15.357681,3.054482,23:14.0,120
73.863722,15.361905,2.261124,32:13.0,121
73.870502,15.362666,3.074234,36:50.0,122
73.865306,15.354118,2.192436,42:08.0,123
73.863882,15.343988,0.571686,47:54.0,124
73.876284,15.340612,1.636169,54:47.0,125
73.888348,15.334643,1.477196,02:32.0,126
73.885806,15.331403,-0.806259,04:38.0,127
73.881635,15.323878,-0.425957,09:07.0,128
73.876673,15.316362,-1.030289,13:44.0,129
73.882665,15.307347,-0.421173,42:40.0,130
73.888091,15.301287,-0.765968,47:03.0,131
73.893438,15.294038,3.255302,51:57.0,132
73.898918,15.286326,3.192589,00:47.0,133
73.891751,15.277104,1.845329,07:00.0,134
73.894677,15.271943,-0.879143,11:09.0,135
73.904788,15.265557,5.22036,17:17.0,136
73.911289,15.257587,2.397972,23:39.0,137
73.907272,15.244385,0.716125,30:37.0,138
73.913627,15.235086,1.735619,37:05.0,139
73.921946,15.229884,0.054634,42:54.0,140
73.916997,15.21977,-1.284737,49:01.0,141
73.916383,15.218591,0.901138,49:57.0,142
73.913349,15.210593,-0.370872,55:23.0,143
73.913663,15.200585,-0.520348,00:59.0,144
73.922091,15.194634,-1.214378,06:08.0,145
73.928399,15.190436,1.056763,09:56.0,146
73.930634,15.189305,0.163414,11:11.0,147
73.9349,15.17901,-5.84449,17:34.0,148
73.930875,15.170112,-1.858055,22:34.0,149
73.927413,15.158186,-0.090508,30:08.0,150
73.936795,15.150701,-0.70668,35:51.0,151
73.944847,15.144125,4.158722,41:00.0,152
73.945184,15.142925,-3.526985,17:57.0,153
73.935513,15.138174,-1.246674,22:57.0,154
73.924856,15.135733,-0.650093,28:28.0,155
73.924348,15.128722,-2.419029,32:51.0,156
73.929585,15.117688,1.138481,39:05.0,157
73.922918,15.115337,-0.089188,43:38.0,158
73.914133,15.109649,0.689232,49:26.0,159
73.919835,15.101051,0.971504,54:44.0,160
73.918583,15.095208,2.790306,59:15.0,161
73.910101,15.087442,2.587662,05:07.0,162
73.904686,15.082359,2.510445,10:38.0,163
73.918862,15.078635,2.320335,18:58.0,164
73.928174,15.077224,2.889961,24:56.0,165
73.930986,15.06908,3.546494,29:46.0,166
73.93308,15.061449,2.118378,34:15.0,167
73.934959,15.057684,2.509796,36:54.0,168
73.950233,15.058322,3.260315,45:29.0,169
73.957046,15.05933,2.569786,49:16.0,170
73.9613,15.060594,4.964256,51:41.0,171
73.961343,15.056944,1.9673,54:47.0,172
73.952112,15.042505,3.612267,04:13.0,173
73.952438,15.035686,2.784904,10:06.0,174
73.959728,15.032622,2.378471,14:46.0,175
73.976102,15.026372,2.43602,24:30.0,176
73.983215,15.024551,3.940636,28:36.0,177
73.984812,15.023808,3.37645,29:58.0,178
73.983687,15.017737,3.071487,33:34.0,179
73.98466,15.008572,1.643616,40:41.0,180
73.993228,15.006321,0.940849,45:51.0,181
74.007116,15.001925,-1.311127,54:01.0,182
74.011596,15.000375,-1.123329,56:35.0,183
74.01495,14.999339,-0.44886,58:37.0,184
74.026361,14.99573,-0.859184,05:20.0,185
74.029516,14.991863,2.288483,09:32.0,186
74.024698,14.985883,2.203911,13:36.0,187
74.017799,14.980164,2.251328,18:20.0,188
74.015353,14.975813,0.545334,21:03.0,189
74.019196,14.970843,-0.295685,25:26.0,190
74.021297,14.969389,1.110924,26:51.0,191
74.033283,14.963912,1.924721,34:04.0,192
74.040877,14.960135,3.374199,38:38.0,193
74.042829,14.954041,-0.391136,43:12.0,194
74.039394,14.953059,-1.52845,45:02.0,195
74.035343,14.951581,-0.693474,47:19.0,196
74.024121,14.944347,-0.519112,54:26.0,197
74.025898,14.937026,1.286888,00:16.0,198
74.030435,14.931267,3.217178,04:27.0,199
74.035277,14.925582,0.819031,08:45.0,200
74.039587,14.921655,0.712563,12:08.0,201
74.035935,14.925605,0.800781,16:59.0,202
74.034379,14.927547,2.412445,18:04.0,203
74.030542,14.931366,-3.246162,20:30.0,204
74.025416,14.936741,-6.628036,23:49.0,205
74.01874,14.947453,-0.786003,29:34.0,206
74.019973,14.959058,0.675407,34:56.0,207
74.022197,14.966457,-0.292305,38:33.0,208
74.027022,14.97651,-1.660126,43:47.0,209
74.028369,14.978548,-0.690483,44:54.0,210
74.030061,14.98084,3.171539,46:19.0,211
74.037971,14.984544,-3.300552,30:39.0,212
74.02784,14.98259,0.720634,36:14.0,213
74.019098,14.981302,0.529076,40:55.0,214
74.01626,14.985999,0.697655,47:07.0,215
74.022525,14.990506,2.385811,51:24.0,216
74.024162,14.991631,1.55056,52:28.0,217
74.025344,14.994477,1.300056,54:42.0,218
74.025169,14.997746,1.831657,56:48.0,219
74.017058,15.003598,0.384361,02:35.0,220
73.995304,15.011253,1.130875,14:31.0,221
73.994071,15.011397,1.803841,15:09.0,222
73.984833,15.012965,1.361221,19:51.0,223
73.966182,15.02055,0.160263,30:18.0,224
73.973564,15.028755,1.873825,36:06.0,225
73.981296,15.034249,0.470596,41:06.0,226
73.982521,15.035598,1.308662,42:09.0,227
73.976415,15.037576,-0.393303,45:24.0,228
73.963378,15.041713,0.097649,52:18.0,229
73.962045,15.055222,4.590996,01:32.0,230
73.957447,15.059596,3.618317,08:53.0,231
73.940648,15.056854,-0.284142,17:54.0,232
73.940414,15.05765,1.310402,18:19.0,233
73.936968,15.066695,2.955994,23:16.0,234
73.936312,15.067782,3.641144,23:55.0,235
73.925536,15.075409,3.549408,31:42.0,236
73.915707,15.075469,1.950806,36:38.0,237
73.897289,15.082566,2.427284,46:27.0,238
73.901801,15.088684,5.035225,51:48.0,239
73.911223,15.094366,1.247078,58:11.0,240
73.919369,15.098973,3.089653,03:52.0,241
73.91661,15.105913,1.467369,08:41.0,242
