id,Day,Month,Year,Region,Species_co,Sex,Age.class,Death_code,PMI_min,PMI_max,lat,lon,flag,adv_time_days,date
7,30,9,2025,Goa,Indo-Pacific finless porpoise,M,SA,3,2,3,15.24884893,73.92088648,,0,30-09-2025 00:00
7,29,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.24825382,73.92216492,,0.5,29-09-2025 12:00
7,29,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.24765682,73.91159821,,1,29-09-2025 00:00
7,28,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.24712181,73.90202332,,1.5,28-09-2025 12:00
7,28,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.24668121,73.88191986,,2,28-09-2025 00:00
7,27,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.24642754,73.84713745,,2.5,27-09-2025 12:00
7,27,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.24482059,73.82263947,,3,27-09-2025 00:00
8,30,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.64229724,73.71800347,,0,30-09-2025 00:00
8,29,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.64028168,73.71753693,,0.5,29-09-2025 12:00
8,29,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.63802814,73.71091461,,1,29-09-2025 00:00
8,28,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.63541508,73.7073822,,1.5,28-09-2025 12:00
8,28,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.63199997,73.68452454,,2,28-09-2025 00:00
8,27,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.62768459,73.68479919,,2.5,27-09-2025 12:00
8,27,9,2025,Goa,Indo-Pacific finless porpoise,,,3,2,3,15.62253952,73.67552948,,3,27-09-2025 00:00
9,29,9,2025,Goa,Indo-Pacific finless porpoise,M,SA,3,2,3,15.54493271,73.7549767,,0,29-09-2025 00:00
9,28,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.53895092,73.74433136,,0.5,28-09-2025 12:00
9,28,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.52864838,73.69355774,,1,28-09-2025 00:00
9,27,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.51250648,73.6698761,,1.5,27-09-2025 12:00
9,27,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.47653961,73.61572266,,2,27-09-2025 00:00
9,26,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.41394043,73.57663727,,2.5,26-09-2025 12:00
9,26,9,2025,Goa,Indo-Pacific finless porpoise,,SA,3,2,3,15.34862328,73.55109406,,3,26-09-2025 00:00
10,29,9,2025,Goa,Indo-Pacific finless porpoise,,C,3,2,4,15.31942492,73.89851757,,0,29-09-2025 00:00
10,28,9,2025,Goa,Indo-Pacific finless porpoise,,C,3,2,4,15.31996632,73.89681244,,0.5,28-09-2025 12:00
10,28,9,2025,Goa,Indo-Pacific finless porpoise,,C,3,2,4,15.32061958,73.88812256,,1,28-09-2025 00:00
10,27,9,2025,Goa,Indo-Pacific finless porpoise,,C,3,2,4,15.32147503,73.87661743,,1.5,27-09-2025 12:00
10,27,9,2025,Goa,Indo-Pacific finless porpoise,,C,3,2,4,15.32251072,73.86710358,,2,27-09-2025 00:00
