id,left,top,right,bottom,mortality
483,73.65,15.76,73.695,15.715,0.142857143
484,73.65,15.715,73.695,15.67,0.714285714
485,73.65,15.67,73.695,15.625,0.276923077
531,73.695,15.715,73.74,15.67,3.285714286
532,73.695,15.67,73.74,15.625,5.459340659
533,73.695,15.625,73.74,15.58,3.285714286
534,73.695,15.58,73.74,15.535,0.384615385
535,73.695,15.535,73.74,15.49,0.333333333
537,73.695,15.445,73.74,15.4,0.142857143
581,73.74,15.58,73.785,15.535,2.912087912
582,73.74,15.535,73.785,15.49,6.062271062
583,73.74,15.49,73.785,15.445,1.457142857
584,73.74,15.445,73.785,15.4,0.88956044
585,73.74,15.4,73.785,15.355,0.326923077
630,73.785,15.49,73.83,15.445,2.896703297
631,73.785,15.445,73.83,15.4,1.288827839
632,73.785,15.4,73.83,15.355,1.136446886
633,73.785,15.355,73.83,15.31,0.076923077
679,73.83,15.4,73.875,15.355,1.86961927
680,73.83,15.355,73.875,15.31,0.962703963
681,73.83,15.31,73.875,15.265,0.5
682,73.83,15.265,73.875,15.22,0.142857143
726,73.875,15.4,73.92,15.355,1.8
727,73.875,15.355,73.92,15.31,10.37866578
728,73.875,15.31,73.92,15.265,17.06144966
729,73.875,15.265,73.92,15.22,4.784138084
730,73.875,15.22,73.92,15.175,1.376623377
731,73.875,15.175,73.92,15.13,1.277056277
732,73.875,15.13,73.92,15.085,0.766666667
733,73.875,15.085,73.92,15.04,0.166666667
776,73.92,15.265,73.965,15.22,3.438095238
777,73.92,15.22,73.965,15.175,5.611255411
778,73.92,15.175,73.965,15.13,3.173160173
779,73.92,15.13,73.965,15.085,1.958441558
780,73.92,15.085,73.965,15.04,0.676190476
827,73.965,15.085,74.01,15.04,3.830769231
828,73.965,15.04,74.01,14.995,0.962237762
829,73.965,14.995,74.01,14.95,0.230769231
875,74.01,15.04,74.055,14.995,3.383416583
876,74.01,14.995,74.055,14.95,6.918081918
877,74.01,14.95,74.055,14.905,0.276923077
924,74.055,14.95,74.1,14.905,0.8
