id,left,top,right,bottom,mortality
436,73.605,15.76,73.65,15.715,0.047619048
484,73.65,15.715,73.695,15.67,0.926406926
485,73.65,15.67,73.695,15.625,0.748917749
486,73.65,15.625,73.695,15.58,0.166666667
531,73.695,15.715,73.74,15.67,0.939393939
532,73.695,15.67,73.74,15.625,1.363636364
533,73.695,15.625,73.74,15.58,1.494227994
534,73.695,15.58,73.74,15.535,2.968831169
535,73.695,15.535,73.74,15.49,0.376623377
581,73.74,15.58,73.785,15.535,2.265945166
582,73.74,15.535,73.785,15.49,3.527128427
583,73.74,15.49,73.785,15.445,0.111111111
630,73.785,15.49,73.83,15.445,0.746031746
631,73.785,15.445,73.83,15.4,0.222222222
632,73.785,15.4,73.83,15.355,1
679,73.83,15.4,73.875,15.355,0.506493506
680,73.83,15.355,73.875,15.31,0.324675325
726,73.875,15.4,73.92,15.355,0.80952381
727,73.875,15.355,73.92,15.31,3.990886307
728,73.875,15.31,73.92,15.265,7.563781248
729,73.875,15.265,73.92,15.22,2.443528694
730,73.875,15.22,73.92,15.175,1.441666667
731,73.875,15.175,73.92,15.13,1.43015873
732,73.875,15.13,73.92,15.085,0.678571429
776,73.92,15.265,73.965,15.22,1.201190476
777,73.92,15.22,73.965,15.175,1.40952381
778,73.92,15.175,73.965,15.13,1.2
828,73.965,15.04,74.01,14.995,0.919191919
875,74.01,15.04,74.055,14.995,0.444444444
876,74.01,14.995,74.055,14.95,3.436363636
877,74.01,14.95,74.055,14.905,0.2
924,74.055,14.95,74.1,14.905,0.8
