id,left,top,right,bottom,mortality
484,73.65,15.715,73.695,15.67,0.142857143
486,73.65,15.625,73.695,15.58,0.285714286
531,73.695,15.715,73.74,15.67,1.428571429
532,73.695,15.67,73.74,15.625,1.571428571
533,73.695,15.625,73.74,15.58,0.685714286
534,73.695,15.58,73.74,15.535,2.933333333
535,73.695,15.535,73.74,15.49,0.142857143
581,73.74,15.58,73.785,15.535,2.495238095
582,73.74,15.535,73.785,15.49,4.314285714
630,73.785,15.49,73.83,15.445,0.714285714
631,73.785,15.445,73.83,15.4,0.285714286
632,73.785,15.4,73.83,15.355,1
679,73.83,15.4,73.875,15.355,0.422222222
680,73.83,15.355,73.875,15.31,0.222222222
726,73.875,15.4,73.92,15.355,0.5
727,73.875,15.355,73.92,15.31,3.855555556
728,73.875,15.31,73.92,15.265,7.434920635
729,73.875,15.265,73.92,15.22,2.084126984
730,73.875,15.22,73.92,15.175,0.987301587
731,73.875,15.175,73.92,15.13,0.885714286
732,73.875,15.13,73.92,15.085,0.342857143
776,73.92,15.265,73.965,15.22,1.787301587
777,73.92,15.22,73.965,15.175,2.144444444
778,73.92,15.175,73.965,15.13,1.333333333
828,73.965,15.04,74.01,14.995,0.2
875,74.01,15.04,74.055,14.995,0.8
876,74.01,14.995,74.055,14.95,4
924,74.055,14.95,74.1,14.905,1
