,Mean,SD,Naive SE,Time-series SE
N_avg[1],2.35139215,0.59079674,0.008807078,0.008808599
N_avg[2],2.702734335,0.616192395,0.009185654,0.009185024
N_avg[3],4.353765191,0.768357924,0.011454004,0.010961015
N_avg[4],4.723180448,0.777029116,0.011583266,0.011222241
N_avg[5],4.89392585,0.799171697,0.011913348,0.01191596
N_avg[6],4.82744566,0.801494169,0.01194797,0.011947305
N_avg[7],2.58903404,0.536507571,0.007997783,0.007998994
N_avg[8],3.872301922,0.671091568,0.010004042,0.010005481
N_avg[9],5.249772621,0.781588223,0.011651229,0.0118037
N_avg[10],1.896173171,0.513612437,0.007656482,0.007529656
N_avg[11],2.398701553,0.618636699,0.009222091,0.008844436
N_avg[12],1.614477621,0.495074261,0.007380131,0.007380981
alpha[1],0.307362675,0.694130848,0.010347492,0.103859958
alpha[2],0.012921518,1.006056922,0.014997411,0.014793424
alpha[3],0.001141235,0.992819416,0.014800078,0.014871714
alpha[4],-0.027355682,0.988489711,0.014735535,0.014177823
alpha[5],0.004977477,1.019383297,0.015196069,0.015501979
alpha[6],-8.76E-05,1.002211823,0.014940092,0.015148083
alpha[7],0.014051941,1.008011584,0.015026549,0.01502547
alpha[8],-0.025504262,1.003661818,0.014961707,0.014956841
alpha[9],-0.007759028,0.983980591,0.014668317,0.014417902
beta[1],-0.283880652,0.371536102,0.005538533,0.016470797
beta[2],-0.138923347,0.351453098,0.005239153,0.017938474
beta[3],0.34851066,0.333412118,0.004970214,0.0167351
beta[4],0.431906922,0.326304378,0.004864258,0.017240536
beta[5],0.467551557,0.32480274,0.004841873,0.016918182
beta[6],0.453530697,0.324928414,0.004843747,0.016858143
beta[7],-0.177487595,0.340230087,0.005071851,0.016183922
beta[8],0.231740142,0.326011521,0.004859893,0.017385119
beta[9],0.540092735,0.314079851,0.004682026,0.017167062
beta[10],-0.504271759,0.378667795,0.005644846,0.016796065
beta[11],-0.265507904,0.373534378,0.005568322,0.016401467
beta[12],-0.675184847,0.408334158,0.006087086,0.015817111
intercept,0.799615628,0.666034775,0.00992866,0.096339231
