,Mean,SD,Naive SE,Time-series SE
N_avg[1],1.098036017,0.403758997,0.006018884,0.00615927
N_avg[2],1.770935923,0.492222617,0.007337622,0.007328087
N_avg[3],1.945280465,0.502299848,0.007487844,0.007487551
N_avg[4],3.482727018,0.69973694,0.010431062,0.010588918
N_avg[5],2.136563484,0.533483411,0.007952701,0.008363809
N_avg[6],1.586723648,0.453043022,0.006753567,0.006866025
N_avg[7],1.114013504,0.351951056,0.005246577,0.005522557
N_avg[8],2.405602768,0.532064062,0.007931543,0.007932273
N_avg[9],3.546220615,0.663401131,0.0098894,0.009882253
N_avg[10],1.430697752,0.471982635,0.007035902,0.007149646
N_avg[11],2.860530781,0.757300707,0.011289172,0.011288656
N_avg[12],1.140354613,0.444267101,0.006622743,0.006622003
alpha[1],0.306456513,0.698957016,0.010419436,0.078912937
alpha[2],-0.022688613,0.991337237,0.014777983,0.014532515
alpha[3],0.018908277,0.998545223,0.014885433,0.014627929
alpha[4],0.010891431,0.986562489,0.014706805,0.014037652
alpha[5],-0.018793841,1.007047164,0.015012173,0.014799976
alpha[6],0.002484455,0.994755584,0.014828941,0.014505682
alpha[7],-0.000868464,1.000054813,0.014907937,0.015092005
alpha[8],-0.000730225,0.998083889,0.014878556,0.014881669
alpha[9],0.005283667,0.996370426,0.014853013,0.013941163
beta[1],-0.53047091,0.452938802,0.006752013,0.012550863
beta[2],-0.023534964,0.391196214,0.005831609,0.013426999
beta[3],0.075613524,0.381086148,0.005680897,0.013629002
beta[4],0.671296198,0.353813875,0.005274346,0.013764441
beta[5],0.171592772,0.378633259,0.005644331,0.013819573
beta[6],-0.135564385,0.401106918,0.005979349,0.013572829
beta[7],-0.498390619,0.42173088,0.006286793,0.01427868
beta[8],0.296805778,0.362794005,0.005408214,0.013937646
beta[9],0.692298484,0.341581362,0.005091994,0.013813902
beta[10],-0.253189267,0.426329558,0.006355346,0.013569765
beta[11],0.459949102,0.385226284,0.005742614,0.013028921
beta[12],-0.501566537,0.468773207,0.006988058,0.014201064
intercept,0.249650518,0.679859556,0.010134748,0.074505836
